X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID
524174.4219,393179.5007,396562,2015/02/16 00:00:00+00,15:02:00,GMT,0.5,Anna Maria Island Rod & Reel Pier (Lower Tampa Bay),27.5385,-82.7402,Karenia brevis,0,HABW150216-011
627186.155999999,220879.1753,396563,2015/02/16 00:00:00+00,15:33:00,GMT,0.5,"Lee Avenue; docks NE of (Big Marco Pass)",25.9733,-81.7275,Karenia brevis,0,HABW150217-001
628350.844300002,214141.7306,396564,2015/02/16 00:00:00+00,15:51:00,GMT,0.5,Caxambas Park,25.9124,-81.7171,Karenia brevis,0,HABW150217-002
635057.4252,216598.396,396565,2015/02/16 00:00:00+00,16:20:00,GMT,0.5,Goodland Bridge,25.9334,-81.6496,Karenia brevis,0,HABW150217-003
629630.506299999,221712.4796,396566,2015/02/16 00:00:00+00,16:40:00,GMT,0.5,951 Boat Ramp (Big Marco Pass),25.9804,-81.7029,Karenia brevis,0,HABW150217-004
540804.794,372828.342,396567,2015/02/03 00:00:00+00,,GMT,1,"City Island; N of (Sarasota Bay)",27.35361,-82.57388,Karenia brevis,0,HABW150217-005
541543.787700001,371434.3578,396568,2015/02/03 00:00:00+00,,GMT,1,"City Island; NE of (Sarasota Bay)",27.34098,-82.56656,Karenia brevis,0,HABW150217-006
540227.1395,370686.2004,396569,2015/02/03 00:00:00+00,,GMT,1,New Pass (Sarasota Bay),27.33438,-82.57998,Karenia brevis,0,HABW150217-007
541807.731699999,368018.2397,396570,2015/02/03 00:00:00+00,,GMT,1,"Bird Key; W of (Sarasota Bay)",27.31019,-82.56429,Karenia brevis,0,HABW150217-008
542607.150600001,367741.0693,396571,2015/02/03 00:00:00+00,,GMT,1,"Bay Island; N of (Sarasota Bay)",27.30761,-82.55623,Karenia brevis,0,HABW150217-009
541602.910700001,374416.7267,396572,2015/02/03 00:00:00+00,,GMT,1,"Indian Beach; W of (Sarasota Bay)",27.36783,-82.56561,Karenia brevis,0,HABW150217-010
542538.8061,372144.4658,396573,2015/02/03 00:00:00+00,,GMT,1,"Centennial Park; W of (Sarasota Bay)",27.34727,-82.5564,Karenia brevis,0,HABW150217-011
542535.798900001,370882.9108,396574,2015/02/03 00:00:00+00,,GMT,1,"Causeway Park; W of (Sarasota Bay)",27.33591,-82.55658,Karenia brevis,0,HABW150217-012
543212.2016,369462.7576,396575,2015/02/03 00:00:00+00,,GMT,1,"Island Park; SW of (Sarasota Bay)",27.32305,-82.5499,Karenia brevis,0,HABW150217-013
543955.589000002,368322.1687,396576,2015/02/03 00:00:00+00,,GMT,1,"Bay Island Park; N of (Sarasota Bay)",27.3127,-82.54251,Karenia brevis,0,HABW150217-014
536718.6292,374257.6143,396577,2015/02/03 00:00:00+00,,GMT,1,"Bishops Point; S of (Sarasota Bay)",27.3669,-82.6151,Karenia brevis,0,HABW150217-015
538712.835099999,375135.2583,396578,2015/02/03 00:00:00+00,,GMT,1,"Bishops Point; E of (Sarasota Bay)",27.3746,-82.5948,Karenia brevis,0,HABW150217-016
540193.295400001,375939.565,396579,2015/02/03 00:00:00+00,,GMT,1,Mid-Sarasota Bay,27.38169,-82.57971,Karenia brevis,0,HABW150217-017
540939.6611,375848.2393,396580,2015/02/03 00:00:00+00,,GMT,1,"Stephens Point; NW of (Sarasota Bay)",27.38079,-82.57216,Karenia brevis,0,HABW150217-018
540939.6611,375848.2393,396581,2015/02/03 00:00:00+00,,GMT,1,"Stephens Point; NW of (Sarasota Bay)",27.38079,-82.57216,Karenia brevis,0,HABW150217-019
539214.288699999,373586.2865,396582,2015/02/03 00:00:00+00,,GMT,1,"Longboat Key; E of (Sarasota Bay)",27.3606,-82.5899,Karenia brevis,0,HABW150217-020
543219.597899999,366313.5149,396583,2015/02/03 00:00:00+00,,GMT,1,"Edwards Island; SW (Roberts Bay; Sarasota)",27.29469,-82.5502,Karenia brevis,0,HABW150217-021
543538.555300001,365152.379,396584,2015/02/03 00:00:00+00,,GMT,1,"Philippe Creek; N of (Roberts Bay; Sarasota)",27.2842,-82.54711,Karenia brevis,0,HABW150217-022
544572.9364,362746.0014,396585,2015/02/03 00:00:00+00,,GMT,1,"Philippe Creek; S of (Roberts Bay; Sarasota)",27.26242,-82.53693,Karenia brevis,0,HABW150217-023
544934.221900001,361949.6461,396586,2015/02/03 00:00:00+00,,GMT,1,"Stickney Point Bridge; Canal NW of",27.25521,-82.53337,Karenia brevis,0,HABW150217-024
545793.462299999,361172.5755,396587,2015/02/03 00:00:00+00,,GMT,1,"Coral Cove; NW of (Little Sarasota Bay)",27.24812,-82.52477,Karenia brevis,0,HABW150217-025
545793.462299999,361172.5755,396588,2015/02/03 00:00:00+00,,GMT,1,"Coral Cove; NW of (Little Sarasota Bay)",27.24812,-82.52477,Karenia brevis,0,HABW150217-026
546746.9738,359799.2718,396589,2015/02/03 00:00:00+00,,GMT,1,"Coral Cove; S of (Little Sarasota Bay)",27.23565,-82.51529,Karenia brevis,0,HABW150217-027
546836.224199999,358708.7644,396590,2015/02/03 00:00:00+00,,GMT,1,"Blind Pass; N of (Little Sarasota Bay)",27.22582,-82.51452,Karenia brevis,0,HABW150217-028
547859.111299999,357672.8577,396591,2015/02/03 00:00:00+00,,GMT,1,"Bird Keys; NE of (Little Sarasota Bay)",27.21638,-82.5043,Karenia brevis,0,HABW150217-029
548148.568399999,355250.0334,396592,2015/02/03 00:00:00+00,,GMT,1,"Spanish Point; S of (Little Sarasota Bay)",27.19453,-82.50167,Karenia brevis,0,HABW150217-030
548482.8145,354355.7475,396593,2015/02/03 00:00:00+00,,GMT,1,"Blackburn Point Road; N of (Little Sarasota Bay)",27.18644,-82.4984,Karenia brevis,0,HABW150217-031
549228.585299999,352568.154,396594,2015/02/03 00:00:00+00,,GMT,1,Dryman Bay,27.17026,-82.49108,Karenia brevis,0,HABW150217-032
549871.697700001,351504.4665,396595,2015/02/03 00:00:00+00,,GMT,1,Northern Blackburn Bay,27.16061,-82.48471,Karenia brevis,0,HABW150217-033
550266.819499999,350665.3964,396596,2015/02/03 00:00:00+00,,GMT,1,Mid-Blackburn Bay,27.15301,-82.48082,Karenia brevis,0,HABW150217-034
551176.533799998,349658.3696,396597,2015/02/03 00:00:00+00,,GMT,1,Southern Blackburn Bay,27.14384,-82.47175,Karenia brevis,0,HABW150217-035
551446.031300001,348510.1955,396598,2015/02/03 00:00:00+00,,GMT,1,"Albee Road Bridge; N of (Blackburn Bay)",27.13347,-82.46917,Karenia brevis,0,HABW150217-036
551446.031300001,348510.1955,396599,2015/02/03 00:00:00+00,,GMT,1,"Albee Road Bridge; N of (Blackburn Bay)",27.13347,-82.46917,Karenia brevis,0,HABW150217-037
552021.700599998,347332.5294,396600,2015/02/03 00:00:00+00,,GMT,1,Lyons Bay,27.1228,-82.4635,Karenia brevis,0,HABW150217-038
553202.095199998,347103.0011,396601,2015/02/03 00:00:00+00,,GMT,1,Dona Bay,27.1206,-82.4516,Karenia brevis,0,HABW150217-039
552260.6127,346424.9607,396602,2015/02/03 00:00:00+00,,GMT,1,"Bird Island; NW of (Dona Bay)",27.1146,-82.4612,Karenia brevis,0,HABW150217-040
